Date,CH,CDMX,NL,Nacional
11/6/2020,68,898,206,5470
12/6/2020,51,936,251,5742
13/06/2020,27,426,194,3230
14/06/2020,26,360,103,2699
15/06/2020,59,943,292,6688
16/06/2020,83,1007,219,6474
17/06/2020,58,974,183,6177
18/06/2020,65,955,233,6146
19/06/2020,65,899,209,6162
20/06/2020,39,469,175,3734
21/06/2020,27,298,105,2609
22/06/2020,61,903,301,7013
23/06/2020,61,901,314,6615
24/06/2020,66,835,311,6364
25/06/2020,53,854,314,6339
26/06/2020,86,939,327,6618
27/06/2020,38,382,213,3777
28/06/2020,23,343,177,3063
29/06/2020,81,983,401,7562
30/06/2020,95,940,381,7226
1/7/2020,111,1025,433,7691
2/7/2020,97,887,353,7099
3/7/2020,82,952,352,7117
4/7/2020,38,395,241,3758
5/7/2020,43,251,201,3098
6/7/2020,92,1006,538,7874
7/7/2020,93,963,504,7921
8/7/2020,106,963,456,7453
9/7/2020,81,759,494,7055
10/7/2020,133,883,456,7220
11/7/2020,62,425,323,3926
12/7/2020,35,272,244,3278
13/07/2020,130,1084,587,8928
14/07/2020,102,938,589,8463
15/07/2020,116,1234,582,8864
16/07/2020,109,1150,563,8266
17/07/2020,101,1196,519,8050
18/07/2020,53,673,249,4452
19/07/2020,43,277,194,3500
20/07/2020,117,1166,572,9134
21/07/2020,111,1174,587,8660
22/07/2020,134,1218,518,8305
23/07/2020,131,1128,612,8094
24/07/2020,110,1081,547,8031
25/07/2020,54,568,274,4210
26/07/2020,54,272,135,3068
27/07/2020,105,1074,226,8527
28/07/2020,118,1083,364,8202
29/07/2020,117,1096,293,7669
30/07/2020,123,1068,355,7577
31/07/2020,89,951,341,6739
1/8/2020,73,554,126,3834
2/8/2020,42,275,108,2564
3/8/2020,108,880,373,7536
4/8/2020,125,1045,411,7392
5/8/2020,114,1033,381,7177
6/8/2020,101,928,355,6676
7/8/2020,114,1006,407,6627
8/8/2020,75,481,211,3682
9/8/2020,44,203,164,2442
10/8/2020,96,905,384,7265
11/8/2020,130,1048,371,6879
12/8/2020,98,1042,372,6499
13/08/2020,120,1019,402,6456
14/08/2020,115,1051,354,6217
15/08/2020,60,485,204,3254
16/08/2020,40,198,161,2340
17/08/2020,106,1020,429,6904
18/08/2020,103,1201,389,6730
19/08/2020,116,1145,422,6300
20/08/2020,114,985,397,6031
21/08/2020,105,1099,330,6306
22/08/2020,57,519,232,3162
23/08/2020,41,291,147,2356
24/08/2020,123,1104,429,7098
25/08/2020,141,1095,547,6696
26/08/2020,181,1465,540,7035
27/08/2020,128,1280,536,6539
28/08/2020,103,1307,484,6334
29/08/2020,67,749,244,3168
30/08/2020,47,265,163,2245
31/08/2020,137,1074,428,7043
1/9/2020,179,1456,490,7155
2/9/2020,146,1501,460,6920
3/9/2020,118,1382,471,6299
4/9/2020,94,1259,416,6039
5/9/2020,53,674,180,2906
6/9/2020,43,265,135,2098
7/9/2020,141,1009,441,6425
8/9/2020,123,1396,529,6626
9/9/2020,129,1342,450,6064
10/9/2020,109,1240,330,5704
11/9/2020,116,1215,341,5507
12/9/2020,59,750,177,2814
13/09/2020,22,243,127,1919
14/09/2020,126,1005,498,6269
15/09/2020,123,799,306,4370
16/09/2020,76,239,211,2251
17/09/2020,115,1307,540,6414
18/09/2020,159,1179,439,5613
19/09/2020,63,667,228,2823
20/09/2020,66,273,172,1865
21/09/2020,183,1000,535,6318
22/09/2020,153,1272,517,6175
23/09/2020,146,1234,468,5834
24/09/2020,119,1186,465,5407
25/09/2020,151,1169,413,5285
26/09/2020,57,766,213,2671
27/09/2020,58,316,153,1838
28/09/2020,195,1147,601,6302
29/09/2020,220,1243,482,5963
30/09/2020,201,1231,384,5558
1/10/2020,204,1191,387,5291
2/10/2020,244,1069,364,5006
3/10/2020,109,560,233,2457
4/10/2020,85,241,154,1769
5/10/2020,355,1047,581,5930
6/10/2020,352,1233,551,5956
7/10/2020,352,1247,578,5775
8/10/2020,408,1202,478,5514
9/10/2020,448,1210,503,5666
10/10/2020,328,557,290,3041
11/10/2020,182,311,202,2218
12/10/2020,432,1258,700,6825
13/10/2020,688,1382,605,7135
14/10/2020,756,1230,503,6476
15/10/2020,633,1351,510,6465
16/10/2020,642,1528,534,6614
17/10/2020,455,680,296,3354
18/10/2020,261,338,190,2369
19/10/2020,782,1876,550,8231
20/10/2020,916,1992,515,8393
21/10/2020,641,1753,560,7420
22/10/2020,641,1784,431,7295
23/10/2020,574,1894,503,7235
24/10/2020,334,790,267,3504
25/10/2020,281,329,182,2473
26/10/2020,723,1990,530,8413
27/10/2020,627,1927,486,7947
28/10/2020,496,1953,443,7181
29/10/2020,484,1708,466,6872
30/10/2020,509,1544,441,6284
31/10/2020,254,702,222,3019
1/11/2020,261,312,165,2169
2/11/2020,386,671,490,5167
3/11/2020,482,2169,554,8084
4/11/2020,502,2004,541,7633
5/11/2020,462,1963,593,7547
6/11/2020,370,1774,780,7093
7/11/2020,185,832,415,3544
8/11/2020,162,356,288,2649
9/11/2020,402,2418,708,8965
10/11/2020,402,2342,726,8937
11/11/2020,375,2144,617,8358
12/11/2020,460,2031,619,8146
13/11/2020,338,2031,629,7576
14/11/2020,189,932,371,3904
15/11/2020,117,440,289,2638
16/11/2020,191,455,270,3306
17/11/2020,388,2519,602,9620
18/11/2020,310,2173,515,8716
19/11/2020,303,2000,564,8208
20/11/2020,336,2155,579,8390
21/11/2020,148,1245,291,4217
22/11/2020,93,471,185,2781
23/11/2020,239,2873,547,10354
24/11/2020,255,2995,493,10283
25/11/2020,225,2766,527,9581
26/11/2020,225,2843,533,9593
27/11/2020,170,3116,494,9616
28/11/2020,90,1670,316,4894
29/11/2020,76,604,160,3008
30/11/2020,178,3779,540,10928
1/12/2020,172,4079,500,11627
2/12/2020,127,4400,423,11458
3/12/2020,115,4455,412,11203
4/12/2020,101,4653,376,10912
5/12/2020,60,2809,226,5993
6/12/2020,43,786,125,3173
7/12/2020,107,5353,507,13102
8/12/2020,135,5088,605,13000
9/12/2020,134,5072,584,12488
10/12/2020,104,5311,582,12751
11/12/2020,76,5170,614,12492
12/12/2020,60,2918,377,6892
13/12/2020,41,710,264,3414
14/12/2020,102,5453,726,14373
15/12/2020,100,5489,697,14042
16/12/2020,122,5216,625,13319
17/12/2020,104,5200,552,12795
18/12/2020,81,5627,474,12542
19/12/2020,43,2980,283,6611
20/12/2020,62,822,232,3801
21/12/2020,72,5577,709,14467
22/12/2020,107,5421,690,13879
23/12/2020,103,5240,563,12815
24/12/2020,59,4531,489,10475
25/12/2020,41,614,186,2731
26/12/2020,60,1966,345,5923
27/12/2020,33,1048,287,4390
28/12/2020,100,6134,808,16217
29/12/2020,93,6217,828,16094
30/12/2020,75,5653,747,14720
31/12/2020,49,4924,716,12069
1/1/2021,52,703,163,3358
2/1/2021,55,1891,531,6914
3/1/2021,52,1119,386,5176
4/1/2021,121,6781,1044,18181
5/1/2021,113,6730,1162,18743
6/1/2021,131,6655,975,18408
7/1/2021,134,6801,1053,18684
8/1/2021,114,6723,1075,18616
9/1/2021,56,3932,518,9830
10/1/2021,45,1326,321,5595
11/1/2021,120,7393,933,20802
12/1/2021,131,6940,1009,19546
13/01/2021,124,6836,853,18466
14/01/2021,92,6620,911,18230
15/01/2021,92,6325,1064,17448
16/01/2021,61,3761,481,9448
17/01/2021,43,1098,341,5237
18/01/2021,159,6628,1026,19396
19/01/2021,130,6473,1093,18826
20/01/2021,126,5762,991,17446
21/01/2021,117,5536,900,16854
22/01/2021,95,5560,953,16393
23/01/2021,56,3100,430,8716
24/01/2021,37,1085,283,4720
25/01/2021,139,5841,925,17986
26/01/2021,115,5867,941,16983
27/01/2021,108,5064,842,14948
28/01/2021,102,4647,792,14042
29/01/2021,68,4278,602,12369
30/01/2021,52,2391,371,6773
31/01/2021,39,797,174,3686
1/2/2021,44,1144,227,4670
2/2/2021,117,4511,556,13475
3/2/2021,96,3922,586,11990
4/2/2021,80,3684,511,10935
5/2/2021,82,3537,424,10203
6/2/2021,46,1927,202,5313
7/2/2021,34,553,116,2751
8/2/2021,120,3970,513,11621
9/2/2021,91,3121,410,9308
10/2/2021,75,2991,442,8632
11/2/2021,87,2667,301,7856
12/2/2021,86,2966,291,7688
13/02/2021,35,1728,101,4001
14/02/2021,25,515,60,2157
15/02/2021,62,2983,205,8259
16/02/2021,112,2799,222,7752
17/02/2021,87,2512,239,7028
18/02/2021,87,2436,209,6967
19/02/2021,92,2431,226,6736
20/02/2021,45,1365,110,3418
21/02/2021,40,493,98,2048
22/02/2021,158,3076,279,8571
23/02/2021,100,2750,269,7441
24/02/2021,80,2451,236,6802
25/02/2021,111,2435,243,6734
26/02/2021,113,2557,213,6824
27/02/2021,38,1538,94,3514
28/02/2021,42,539,66,2100
1/3/2021,148,2997,254,8607
2/3/2021,82,2632,208,6911
3/3/2021,121,2493,188,6533
4/3/2021,96,2335,181,6288
5/3/2021,103,2228,179,5990
6/3/2021,52,1275,90,3067
7/3/2021,39,506,64,2000
8/3/2021,154,2476,192,7044
9/3/2021,118,2119,168,5928
10/3/2021,123,1784,162,5480
11/3/2021,108,1873,187,5298
12/3/2021,95,1908,140,5195
13/03/2021,54,1055,61,2676
14/03/2021,43,457,46,1565
15/03/2021,46,549,70,2146
16/03/2021,148,2401,192,6685
17/03/2021,114,1956,136,5216
18/03/2021,121,1840,102,4962
19/03/2021,122,1615,100,4710
20/03/2021,68,963,51,2439
21/03/2021,57,353,27,1544
22/03/2021,205,1986,112,5862
23/03/2021,170,1837,106,5122
24/03/2021,180,1532,73,4538
25/03/2021,199,1530,93,4516
26/03/2021,177,1391,110,4104
27/03/2021,64,915,39,2249
28/03/2021,46,339,31,1318
29/03/2021,236,1660,148,5203
30/03/2021,196,1547,108,4353
31/03/2021,180,1418,106,3976
1/4/2021,83,594,52,2083
2/4/2021,83,452,39,1688
3/4/2021,121,336,47,1603
4/4/2021,99,292,26,1424
5/4/2021,323,1640,131,5500
6/4/2021,310,1427,105,4591
7/4/2021,294,1372,101,4345
8/4/2021,275,1253,118,4165
9/4/2021,239,1295,79,3964
10/4/2021,90,827,35,2218
11/4/2021,80,241,26,1205
12/4/2021,311,1444,125,4961
13/04/2021,310,1289,111,4129
14/04/2021,274,1192,80,3753
15/04/2021,224,1196,93,3696
16/04/2021,230,998,82,3270
17/04/2021,74,608,37,1673
18/04/2021,62,223,16,1103
19/04/2021,292,1196,84,4235
20/04/2021,284,1078,86,3553
21/04/2021,260,1083,61,3527
22/04/2021,198,901,73,3165
23/04/2021,199,868,104,3104
24/04/2021,89,568,41,1735
25/04/2021,86,177,25,1059
26/04/2021,296,1004,92,3872
27/04/2021,213,977,89,3405
28/04/2021,183,884,74,3092
29/04/2021,167,786,74,2921
30/04/2021,132,752,62,2676
1/5/2021,69,224,23,998
2/5/2021,54,187,27,951
3/5/2021,192,797,101,3407
4/5/2021,180,622,90,2884
5/5/2021,148,675,93,2550
6/5/2021,153,601,75,2749
7/5/2021,111,620,101,2449
8/5/2021,48,380,46,1271
9/5/2021,38,91,28,783
10/5/2021,99,356,62,1721
11/5/2021,177,689,97,3114
12/5/2021,137,615,87,2577
13/05/2021,108,507,78,2311
14/05/2021,85,608,94,2424
15/05/2021,38,307,53,1207
16/05/2021,39,117,20,764
17/05/2021,132,606,126,2804
18/05/2021,97,613,83,2515
19/05/2021,99,531,91,2418
20/05/2021,93,552,96,2344
21/05/2021,72,587,127,2311
22/05/2021,22,301,30,1150
23/05/2021,12,121,26,802
24/05/2021,92,631,144,2894
25/05/2021,64,672,137,2644
26/05/2021,79,658,77,2576
27/05/2021,68,546,125,2472
28/05/2021,38,643,106,2440
29/05/2021,21,285,42,1143
30/05/2021,24,113,33,933
31/05/2021,64,637,122,3031
1/6/2021,54,679,100,2785
2/6/2021,60,683,88,2786
3/6/2021,57,601,111,2640
4/6/2021,49,637,134,2755
5/6/2021,25,314,57,1356
6/6/2021,9,107,37,842
7/6/2021,55,844,161,3674
8/6/2021,50,893,133,3579
9/6/2021,56,894,103,3367
10/6/2021,50,789,130,3244
11/6/2021,35,797,119,3246
12/6/2021,14,449,37,1711
13/06/2021,18,149,25,1100
14/06/2021,54,956,134,4153
15/06/2021,49,969,125,3850
16/06/2021,28,998,137,3916
17/06/2021,21,1054,120,3911
18/06/2021,32,1087,107,3944
19/06/2021,12,612,60,2061
20/06/2021,8,217,40,1275
21/06/2021,40,1331,179,5245
22/06/2021,33,1494,124,5138
23/06/2021,27,1524,174,5273
24/06/2021,41,1610,158,5292
25/06/2021,31,1531,150,5176
26/06/2021,13,991,69,2747
27/06/2021,5,388,48,1696
28/06/2021,42,1958,239,6894
29/06/2021,37,1923,209,6359
30/06/2021,42,1943,211,6176
1/7/2021,36,2226,242,6415
2/7/2021,56,2322,221,6666
3/7/2021,14,1384,127,3461
4/7/2021,17,542,72,2254
5/7/2021,62,3056,334,9166
6/7/2021,53,3169,316,9200
7/7/2021,96,3504,339,9922
8/7/2021,85,3525,338,9909
9/7/2021,73,3451,401,10389
10/7/2021,32,2089,168,5303
11/7/2021,22,957,94,3502
12/7/2021,115,4409,593,13773
13/07/2021,121,4690,536,13786
14/07/2021,92,4659,644,13719
15/07/2021,94,4165,635,13384
16/07/2021,84,4274,638,13911
17/07/2021,38,2504,265,6885
18/07/2021,38,1031,217,4663
19/07/2021,133,5326,840,17950
20/07/2021,140,5422,803,18053
21/07/2021,141,5113,810,17705
22/07/2021,125,5444,902,18611
23/07/2021,151,4718,922,17794
24/07/2021,52,2888,390,8692
25/07/2021,28,1355,296,6355
26/07/2021,142,5883,1172,22467
27/07/2021,151,5503,1336,21809
28/07/2021,130,5236,1152,20356
29/07/2021,152,5684,1084,21042
30/07/2021,102,4928,1234,19766
31/07/2021,34,2912,462,9295
1/8/2021,60,1358,424,7252
2/8/2021,134,5531,1626,23262
3/8/2021,137,5403,1491,22639
4/8/2021,121,4983,1487,21426
5/8/2021,121,5053,1590,21643
6/8/2021,135,4674,1487,20962
7/8/2021,54,2890,540,9999
8/8/2021,28,1387,463,7511
9/8/2021,180,5259,1899,25281
10/8/2021,138,5321,1850,24390
11/8/2021,120,5022,1646,22854
12/8/2021,102,4589,1573,21972
13/08/2021,80,4424,1698,21268
14/08/2021,25,2153,522,9417
15/08/2021,26,987,420,6743
16/08/2021,119,4373,1889,24050
17/08/2021,101,4046,1729,21619
18/08/2021,90,3924,1663,20687
19/08/2021,91,3627,1403,18737
20/08/2021,92,3354,1402,17710
21/08/2021,54,1469,448,7538
22/08/2021,29,800,331,5839
23/08/2021,103,3479,1590,20959
24/08/2021,99,3360,1431,18399
25/08/2021,94,2961,1251,16869
26/08/2021,87,2994,1228,16035
27/08/2021,56,3037,1167,15482
28/08/2021,28,1541,370,6882
29/08/2021,23,615,302,4692
30/08/2021,111,3017,1438,17488
31/08/2021,90,2452,1157,15349
1/9/2021,81,2312,1037,14348
2/9/2021,100,2300,820,13587
3/9/2021,80,2343,792,13105
4/9/2021,35,1266,253,6235
5/9/2021,22,591,199,4091
6/9/2021,107,2476,973,15681
7/9/2021,87,1988,883,13013
8/9/2021,87,1766,789,11921
9/9/2021,76,1903,700,11640
10/9/2021,71,1892,666,11333
11/9/2021,20,1012,235,4985
12/9/2021,19,497,183,3630
13/09/2021,137,1933,859,13305
14/09/2021,82,1777,690,11157
15/09/2021,81,1455,332,7297
16/09/2021,28,308,177,3716
17/09/2021,95,1737,715,11028
18/09/2021,24,964,170,4461
19/09/2021,21,401,161,3087
20/09/2021,115,2046,649,12005
21/09/2021,84,1649,552,9648
22/09/2021,107,1675,367,9308
23/09/2021,100,1363,413,8193
24/09/2021,109,1423,402,7903
25/09/2021,19,817,128,3485
26/09/2021,26,353,102,2559
27/09/2021,156,1500,552,9681
28/09/2021,92,1048,449,7345
29/09/2021,87,978,377,6860
30/09/2021,94,806,334,5955
1/10/2021,77,889,327,5530
2/10/2021,26,459,118,2579
3/10/2021,34,238,89,1904
4/10/2021,167,1026,397,7254
5/10/2021,136,863,350,6033
6/10/2021,99,809,263,5473
7/10/2021,113,759,296,4982
8/10/2021,92,725,250,4676
9/10/2021,38,335,94,2107
10/10/2021,23,204,68,1710
11/10/2021,126,833,361,5942
12/10/2021,52,713,308,4783
13/10/2021,106,611,282,4251
14/10/2021,124,556,243,3978
15/10/2021,128,640,212,3742
16/10/2021,32,255,58,1377
17/10/2021,37,109,57,1040
18/10/2021,126,596,272,3790
19/10/2021,47,392,113,1890
20/10/2021,0,0,0,12
