ID,Label
R93,¿Cómo serán los efectos secundarios para las personas que reciban la vacuna COVID-19?
R94,"¿Qué hará la vacuna COVID-19 con mi sistema inmunológico, si la recibo?"
R95,¿Qué tan probable cree que es que se contagie del coronavirus (COVID-19)?
R96,"¿Cómo calificaría la situación de la epidemia COVID-19, que se vive en México?"
R97,"¿Qué me permitirá la vacuna COVID-19, si la recibo?"
R98,"Recibir la vacuna COVID-19, ¿es una señal de?:"
R99,"Recibir una nueva vacuna, como la de COVID-19, me hará sentir como un “conejillo de indias”."
R100,"Seleccione el grado de acuerdo con la siguiente frase, “La vacuna para el COVID-19 debe de ser ofrecida por las autoridades de salud como un derecho, es decir, todos nos podemos vacunar si así lo deseamos. "
R101,"Seleccione el grado de acuerdo con la siguiente frase, “La vacuna para el COVID-19 debe de ser impuesta por las autoridades de salud como una obligación, es decir, todos nos debemos de vacunar, queramos o no."
R102,"En México, la vacuna se ofrece como un derecho, es decir si usted lo desea se puede vacunar (cuando lo toque). En caso de que, en vez de un derecho, fuese una obligación, ¿usted cambiaría su disposición a aplicarse la vacuna? "
R104,En México existen diferentes tipos de vacunas para la enfermedad COVID-19. Seleccione la respuesta que mejor refleja su opinión con respecto a lo siguiente: “la marca o el tipo de vacuna para COVID-19 influye mi deseo o no de vacunarme”.
R105,¿Cuántas veces se ha vacunado usted de influenza en los últimos cinco años? (Por favor seleccione solo una de las siguientes)
R148,"Considerando las otras enfermedades que usted pudiera tener además de su enfermedad reumatológica, ¿Cómo se siente en este momento?  [¿Se siente?|Muy mal|Muy bien]"
R149,"Con respecto al tratamiento de su enfermedad reumatológica, ¿cuánto diría usted que afecta a su sistema inmune o de defensa del organismo?"
R150,Relación Médico-Paciente [Confío en mi médico]
R151,Relación Médico-Paciente [Mi médico se esfuerza en ayudarme]
R152,Relación Médico-Paciente [Puedo hablar con mi médico]
R157,Comorbilidades: [Enfermedad pulmonar ]
R158,Comorbilidades: [Infarto agudo de miocardio]
R159,Comorbilidades: [Otra enfermedad cardiovascular ]
R160,Comorbilidades: [Enfermedad vascular cerebral ]
R161,Comorbilidades: [Hipertensión arterial sistémica ]
R162,Comorbilidades: [Diabetes mellitus]
R163,Comorbilidades: [Fractura de cadera/columna o pierna ]
R164,Comorbilidades: [Depresión ]
R165,Comorbilidades: [Cáncer ]
R166,Comorbilidades: [Ulcera gastrointestinal ]
R167,Comorbilidades: [Otras enfermedades gástricas]
